,score,model,xcols,val_wt_f1,val_acc,wt_f1,acc,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18
L974,0,"XGBClassifier(base_score=0.5, booster='gbtree', callbacks=None,
              colsample_bylevel=1, colsample_bynode=1, colsample_bytree=1,
              early_stopping_rounds=None, enable_categorical=False,
              eval_metric=None, gamma=0.0, gpu_id=-1, grow_policy='depthwise',
              importance_type=None, interaction_constraints='',
              learning_rate=0.05, max_bin=256, max_cat_to_onehot=4,
              max_delta_step=0, max_depth=6, max_leaves=0, min_child_weight=1,
              missing=nan, monotone_constraints='()', n_estimators=9, n_jobs=0,
              num_parallel_tree=1, objective='multi:softprob', predictor='auto',
              random_state=0, reg_alpha=0.4, ...)",tsfw1 tspk2 tsfw2 lspk2 lspk3 lsfw3 teosVolume teosVolPct,0.993728524473527,0.9937888198757764,0.5,0.5,LoadData,ImputedData,SetYCol: coatingId,Set: scoring,DropCol: coating,AllValidFeatures,AugmentByQuality: F=2 scale=0.40,,,SplitValidation: 0.20,AggregateFeatures,ScaleX: StandardScaler,SetModel: DecisionTreeClassifier,SelectFeaturesRFE,SetModel: gbtree,RunCond: SearchHyperParams,TestPerformance,TestPerformance
L973,0,"KNeighborsClassifier(leaf_size=1, n_jobs=-1, n_neighbors=8, p=1,
                     weights='distance')",lsfw1 tspk2 tsfw2 lspk2 lsfw2 tspk3 tsfw3 lspk3 lsfw3 teosVolume teosVolPct,0.8923208923208924,0.8918918918918919,0.5925925925925927,0.6666666666666666,LoadData,ImputedData,SetYCol: coatingId,Set: scoring,DropCol: coating,AllValidFeatures,AugmentByQuality: F=1 scale=0.30,,,SplitValidation: 0.20,,ScaleX: StandardScaler,SetModel: DecisionTreeClassifier,SelectFeaturesRFE,SetModel: KNeighborsClassifier,RunCond: SearchHyperParams,TestPerformance,TestPerformance
L972,0,SVC(kernel='linear'),tsfw1 lsfw1 tspk2 tsfw2 lspk2 lsfw2 tsfw3 lspk3 lsfw3 teosVolume teosVolPct,0.9931947710619956,0.9931972789115646,0.380952380952381,0.3333333333333333,LoadData,ImputedData,SetYCol: coatingId,Set: scoring,DropCol: coating,AllValidFeatures,AugmentByQuality: F=2 scale=0.40,,AugmentImb: SMOTE,SplitValidation: 0.20,AggregateFeatures,ScaleX: StandardScaler,SetModel: DecisionTreeClassifier,SelectFeaturesRFE,SetModel: SVC,RunCond: SearchHyperParams,TestPerformance,TestPerformance
L971,0,SVC(),tsfw1 tspk2 tsfw2 lsfw2 tspk3,1.0,1.0,0.380952380952381,0.3333333333333333,LoadData,ImputedData,SetYCol: coatingId,Set: scoring,DropCol: coating,AllValidFeatures,AugmentByQuality: F=2 scale=0.40,,AugmentImb: BorderlineSMOTE,SplitValidation: 0.20,,ScaleX: StandardScaler,SetModel: DecisionTreeClassifier,SelectFeaturesRFE,SetModel: SVC,RunCond: SearchHyperParams,TestPerformance,TestPerformance
L970,0,None,tspk1 tsfw1 lspk1 lsfw1 tspk2 tsfw2 lspk2 lsfw2 tspk3 tsfw3 lspk3 lsfw3 teosVolume teosVolPct,,,,,LoadData,ImputedData,SetYCol: coatingId,Set: scoring,DropCol: coating,AllValidFeatures,AugmentByQuality: F=2 scale=0.40,ScaleX: StandardScaler,AugmentImb: ADASYN,,,,,,,,,
L948,0,"KNeighborsClassifier(leaf_size=1, n_jobs=-1, n_neighbors=2, p=1)",tspk2 lspk2 tspk3 tsfw3 lspk3 lsfw3 teosVolume teosVolPct,1.0,1.0,0.44444444444444436,0.5,LoadData,ObservedData,SetYCol: coatingId,Set: scoring,DropCol: coating,AllValidFeatures,AugmentByQuality: F=2 scale=0.40,ScaleX: StandardScaler,AugmentImb: SMOTE,SplitValidation: 0.20,,ScaleX: StandardScaler,SetModel: DecisionTreeClassifier,SelectFeaturesRFE,SetModel: KNeighborsClassifier,RunCond: SearchHyperParams,TestPerformance,TestPerformance
L946,0,"XGBClassifier(base_score=0.5, booster='gbtree', callbacks=None,
              colsample_bylevel=1, colsample_bynode=1, colsample_bytree=1,
              early_stopping_rounds=None, enable_categorical=False,
              eval_metric=None, gamma=0.0, gpu_id=-1, grow_policy='depthwise',
              importance_type=None, interaction_constraints='', learning_rate=1,
              max_bin=256, max_cat_to_onehot=4, max_delta_step=0, max_depth=8,
              max_leaves=0, min_child_weight=1, missing=nan,
              monotone_constraints='()', n_estimators=5, n_jobs=0,
              num_parallel_tree=1, objective='multi:softprob', predictor='auto',
              random_state=0, reg_alpha=0.2, ...)",tspk2 lspk2 lsfw2 tspk3 tsfw3 lspk3 lsfw3 teosVolume teosVolPct,1.0,1.0,0.5,0.5,LoadData,ObservedData,SetYCol: coatingId,Set: scoring,DropCol: coating,AllValidFeatures,AugmentByQuality: F=1 scale=0.30,,AugmentImb: RandomOverSampler,SplitValidation: 0.20,,ScaleX: StandardScaler,SetModel: DecisionTreeClassifier,SelectFeaturesRFE,SetModel: gbtree,RunCond: SearchHyperParams,TestPerformance,TestPerformance
L990,0,None,lsfw1 lspk1 lsfw2 tsfw1 tspk1 tsfw2 teosVolPct teosVolume,,,,,LoadData,ObservedData,SetYCol: coatingId,Set: scoring,DropCol: coating,NonCollinearFeatures,,,AugmentImb: SMOTE,,,,,,,,,
L945,0,"KNeighborsClassifier(leaf_size=1, n_jobs=-1, n_neighbors=2)",tsfw2 lspk2 tsfw3 lspk3 lsfw3 teosVolume teosVolPct,1.0,1.0,0.5925925925925927,0.6666666666666666,LoadData,ObservedData,SetYCol: coatingId,Set: scoring,DropCol: coating,AllValidFeatures,,,AugmentImb: RandomOverSampler,SplitValidation: 0.20,,ScaleX: StandardScaler,SetModel: DecisionTreeClassifier,SelectFeaturesRFE,SetModel: KNeighborsClassifier,RunCond: SearchHyperParams,TestPerformance,TestPerformance
L922,0,None,tspk1 tsfw1 lspk1 lsfw1 tspk2 tsfw2 lspk2 lsfw2 tspk3 tsfw3 lspk3 lsfw3 teosVolume teosVolPct,,,,,LoadData,ObservedData,SetYCol: coatingId,Set: scoring,DropCol: coating,AllValidFeatures,,ScaleX: StandardScaler,AugmentImb: BorderlineSMOTE,,,,,,,,,
L921,0,DecisionTreeClassifier(),tsfw2 lspk3 lsfw3 teosVolume teosVolPct,,,,,LoadData,ObservedData,SetYCol: coatingId,Set: scoring,DropCol: coating,AllValidFeatures,,,,SplitValidation: 0.20,AggregateFeatures,ScaleX: StandardScaler,SetModel: DecisionTreeClassifier,SelectFeaturesRFE,SetModel: gbtree,,,
L920,0,"XGBClassifier(base_score=0.5, booster='gbtree', callbacks=None,
              colsample_bylevel=1, colsample_bynode=1, colsample_bytree=1,
              early_stopping_rounds=None, enable_categorical=False,
              eval_metric=None, gamma=0.0, gpu_id=-1, grow_policy='depthwise',
              importance_type=None, interaction_constraints='', learning_rate=1,
              max_bin=256, max_cat_to_onehot=4, max_delta_step=0, max_depth=6,
              max_leaves=0, min_child_weight=1, missing=nan,
              monotone_constraints='()', n_estimators=5, n_jobs=0,
              num_parallel_tree=1, objective='multi:softprob', predictor='auto',
              random_state=0, reg_alpha=0.2, ...)",lsfw2 tspk1 tsfw2 teosVolPct teosVolume,0.8263888888888888,0.8333333333333334,0.380952380952381,0.3333333333333333,LoadData,ObservedData,SetYCol: coatingId,Set: scoring,DropCol: coating,NonCollinearFeatures,AugmentByQuality: F=1 scale=0.30,ScaleX: StandardScaler,AugmentImb: RandomOverSampler,SplitValidation: 0.20,,ScaleX: StandardScaler,SetModel: DecisionTreeClassifier,SelectFeaturesRFE,SetModel: gbtree,RunCond: SearchHyperParams,TestPerformance,TestPerformance
L919,0,"KNeighborsClassifier(leaf_size=1, n_jobs=-1, n_neighbors=1, p=1)",tsfw1 tspk2 tsfw2 lspk2 lspk3 lsfw3 teosVolume teosVolPct,1.0,1.0,0.5925925925925927,0.6666666666666666,LoadData,ImputedData,SetYCol: coatingId,Set: scoring,DropCol: coating,AllValidFeatures,AugmentByQuality: F=2 scale=0.40,ScaleX: StandardScaler,AugmentImb: BorderlineSMOTE,SplitValidation: 0.20,,ScaleX: StandardScaler,SetModel: DecisionTreeClassifier,SelectFeaturesRFE,SetModel: KNeighborsClassifier,RunCond: SearchHyperParams,TestPerformance,TestPerformance
L918,0,None,lsfw1 lspk1 lsfw2 tsfw1 tspk1 tsfw2 teosVolPct teosVolume,,,,,LoadData,ObservedData,SetYCol: coatingId,Set: scoring,DropCol: coating,NonCollinearFeatures,AugmentByQuality: F=1 scale=0.30,ScaleX: StandardScaler,AugmentImb: ADASYN,,,,,,,,,
L917,0,GaussianProcessClassifier(),lspk1 tsfw1 tsfw2 teosVolPct teosVolume,0.5333333333333333,0.6666666666666666,0.5925925925925927,0.6666666666666666,LoadData,ObservedData,SetYCol: coatingId,Set: scoring,DropCol: coating,NonCollinearFeatures,,,,SplitValidation: 0.20,AggregateFeatures,ScaleX: StandardScaler,SetModel: DecisionTreeClassifier,SelectFeaturesRFE,SetModel: GaussianProcessClassifier,RunCond: SearchHyperParams,TestPerformance,TestPerformance
L916,0,GaussianProcessClassifier(),tspk2 lspk3 lsfw3 teosVolume teosVolPct,0.6071428571428571,0.7142857142857143,0.380952380952381,0.3333333333333333,LoadData,ObservedData,SetYCol: coatingId,Set: scoring,DropCol: coating,AllValidFeatures,,ScaleX: StandardScaler,AugmentImb: RandomOverSampler,SplitValidation: 0.20,AggregateFeatures,ScaleX: StandardScaler,SetModel: DecisionTreeClassifier,SelectFeaturesRFE,SetModel: GaussianProcessClassifier,RunCond: SearchHyperParams,TestPerformance,TestPerformance
L915,0,"XGBClassifier(base_score=0.5, booster='gbtree', callbacks=None,
              colsample_bylevel=1, colsample_bynode=1, colsample_bytree=1,
              early_stopping_rounds=None, enable_categorical=False,
              eval_metric=None, gamma=0.0, gpu_id=-1, grow_policy='depthwise',
              importance_type=None, interaction_constraints='', learning_rate=1,
              max_bin=256, max_cat_to_onehot=4, max_delta_step=0, max_depth=8,
              max_leaves=0, min_child_weight=1, missing=nan,
              monotone_constraints='()', n_estimators=6, n_jobs=0,
              num_parallel_tree=1, objective='multi:softmax', predictor='auto',
              random_state=0, reg_alpha=0.4, ...)",lsfw1 tspk2 lsfw2 tsfw3 lsfw3 teosVolume teosVolPct,1.0,1.0,0.5925925925925927,0.6666666666666666,LoadData,ImputedData,SetYCol: coatingId,Set: scoring,DropCol: coating,AllValidFeatures,,ScaleX: StandardScaler,AugmentImb: BorderlineSMOTE,SplitValidation: 0.20,,ScaleX: StandardScaler,SetModel: DecisionTreeClassifier,SelectFeaturesRFE,SetModel: gbtree,RunCond: SearchHyperParams,TestPerformance,TestPerformance
L914,0,None,tspk1 tsfw1 lspk1 lsfw1 tspk2 tsfw2 lspk2 lsfw2 tspk3 tsfw3 lspk3 lsfw3 teosVolume teosVolPct,,,,,LoadData,ObservedData,SetYCol: coatingId,Set: scoring,DropCol: coating,AllValidFeatures,AugmentByQuality: F=1 scale=0.30,ScaleX: StandardScaler,AugmentImb: ADASYN,,,,,,,,,
L913,0,"KNeighborsClassifier(leaf_size=1, n_jobs=-1, n_neighbors=1)",lspk1 tspk2 lsfw2 tspk1 tsfw1 teosVolPct lsfw3 teosVolume,1.0,1.0,0.380952380952381,0.3333333333333333,LoadData,ImputedData,SetYCol: coatingId,Set: scoring,DropCol: coating,NonCollinearFeatures,,,AugmentImb: ADASYN,SplitValidation: 0.20,AggregateFeatures,ScaleX: StandardScaler,SetModel: DecisionTreeClassifier,SelectFeaturesRFE,SetModel: KNeighborsClassifier,RunCond: SearchHyperParams,TestPerformance,TestPerformance
L912,0,"XGBClassifier(base_score=0.5, booster='gbtree', callbacks=None,
              colsample_bylevel=1, colsample_bynode=1, colsample_bytree=1,
              early_stopping_rounds=None, enable_categorical=False,
              eval_metric=None, gamma=0.0, gpu_id=-1, grow_policy='depthwise',
              importance_type=None, interaction_constraints='', learning_rate=2,
              max_bin=256, max_cat_to_onehot=4, max_delta_step=0, max_depth=8,
              max_leaves=0, min_child_weight=1, missing=nan,
              monotone_constraints='()', n_estimators=2, n_jobs=0,
              num_parallel_tree=1, objective='multi:softprob', predictor='auto',
              random_state=0, reg_alpha=0.1, ...)",tsfw1 tspk1 tsfw2 teosVolPct teosVolume,1.0,1.0,0.5925925925925927,0.6666666666666666,LoadData,ObservedData,SetYCol: coatingId,Set: scoring,DropCol: coating,NonCollinearFeatures,AugmentByQuality: F=2 scale=0.40,ScaleX: StandardScaler,,SplitValidation: 0.20,,ScaleX: StandardScaler,SetModel: DecisionTreeClassifier,SelectFeaturesRFE,SetModel: gbtree,RunCond: SearchHyperParams,TestPerformance,TestPerformance
L911,0,None,lsfw1 lspk1 lsfw2 tsfw1 tspk1 tsfw2 teosVolPct teosVolume,,,,,LoadData,ObservedData,SetYCol: coatingId,Set: scoring,DropCol: coating,NonCollinearFeatures,AugmentByQuality: F=1 scale=0.30,,AugmentImb: BorderlineSMOTE,,,,,,,,,
L910,0,"XGBClassifier(base_score=0.5, booster='gbtree', callbacks=None,
              colsample_bylevel=1, colsample_bynode=1, colsample_bytree=1,
              early_stopping_rounds=None, enable_categorical=False,
              eval_metric=None, gamma=0.0, gpu_id=-1, grow_policy='depthwise',
              importance_type=None, interaction_constraints='',
              learning_rate=0.1, max_bin=256, max_cat_to_onehot=4,
              max_delta_step=0, max_depth=7, max_leaves=0, min_child_weight=1,
              missing=nan, monotone_constraints='()', n_estimators=3, n_jobs=0,
              num_parallel_tree=1, objective='multi:softmax', predictor='auto',
              random_state=0, reg_alpha=0.1, ...)",tsfw2 lspk1 tspk2 lsfw1 lsfw2 lspk2 tspk1 tsfw1 teosVolPct lsfw3,1.0,1.0,0.5925925925925927,0.6666666666666666,LoadData,ImputedData,SetYCol: coatingId,Set: scoring,DropCol: coating,NonCollinearFeatures,AugmentByQuality: F=2 scale=0.40,,AugmentImb: ADASYN,SplitValidation: 0.20,,ScaleX: StandardScaler,SetModel: DecisionTreeClassifier,SelectFeaturesRFE,SetModel: gbtree,RunCond: SearchHyperParams,TestPerformance,TestPerformance
L909,0,GaussianProcessClassifier(),lspk1 tspk1 tsfw2 teosVolPct teosVolume,0.9818181818181818,0.9818181818181818,0.5925925925925927,0.6666666666666666,LoadData,ObservedData,SetYCol: coatingId,Set: scoring,DropCol: coating,NonCollinearFeatures,AugmentByQuality: F=2 scale=0.40,,AugmentImb: SMOTE,SplitValidation: 0.20,AggregateFeatures,ScaleX: StandardScaler,SetModel: DecisionTreeClassifier,SelectFeaturesRFE,SetModel: GaussianProcessClassifier,RunCond: SearchHyperParams,TestPerformance,TestPerformance
L908,0,"XGBClassifier(base_score=0.5, booster='gbtree', callbacks=None,
              colsample_bylevel=1, colsample_bynode=1, colsample_bytree=1,
              early_stopping_rounds=None, enable_categorical=False,
              eval_metric=None, gamma=0.0, gpu_id=-1, grow_policy='depthwise',
              importance_type=None, interaction_constraints='',
              learning_rate=0.001, max_bin=256, max_cat_to_onehot=4,
              max_delta_step=0, max_depth=9, max_leaves=0, min_child_weight=1,
              missing=nan, monotone_constraints='()', n_estimators=6, n_jobs=0,
              num_parallel_tree=1, objective='multi:softprob', predictor='auto',
              random_state=0, reg_alpha=0.2, ...)",tsfw2 lspk1 tspk2 lsfw2 lspk2 teosVolPct lsfw3 teosVolume,0.9712956588669215,0.9710144927536232,0.5333333333333333,0.6666666666666666,LoadData,ImputedData,SetYCol: coatingId,Set: scoring,DropCol: coating,NonCollinearFeatures,AugmentByQuality: F=1 scale=0.30,,AugmentImb: SMOTE,SplitValidation: 0.20,,ScaleX: StandardScaler,SetModel: DecisionTreeClassifier,SelectFeaturesRFE,SetModel: gbtree,RunCond: SearchHyperParams,TestPerformance,TestPerformance
L907,0,"SVC(C=0.445, kernel='poly')",lspk1 tsfw1 tsfw2 teosVolPct teosVolume,0.7340930674264008,0.8148148148148148,0.46428571428571436,0.5,LoadData,ObservedData,SetYCol: coatingId,Set: scoring,DropCol: coating,NonCollinearFeatures,AugmentByQuality: F=2 scale=0.40,ScaleX: StandardScaler,,SplitValidation: 0.20,AggregateFeatures,ScaleX: StandardScaler,SetModel: DecisionTreeClassifier,SelectFeaturesRFE,SetModel: SVC,RunCond: SearchHyperParams,TestPerformance,TestPerformance
L906,0,None,tspk1 tsfw1 lspk1 lsfw1 tspk2 tsfw2 lspk2 lsfw2 tspk3 tsfw3 lspk3 lsfw3 teosVolume teosVolPct,,,,,LoadData,ImputedData,SetYCol: coatingId,Set: scoring,DropCol: coating,AllValidFeatures,AugmentByQuality: F=2 scale=0.40,ScaleX: StandardScaler,AugmentImb: ADASYN,,,,,,,,,
L905,0,"KNeighborsClassifier(leaf_size=1, n_jobs=-1, n_neighbors=1)",lspk1 lsfw2 tsfw1 tspk1 tsfw2 teosVolPct teosVolume,1.0,1.0,0.5,0.5,LoadData,ObservedData,SetYCol: coatingId,Set: scoring,DropCol: coating,NonCollinearFeatures,,ScaleX: StandardScaler,AugmentImb: RandomOverSampler,SplitValidation: 0.20,,ScaleX: StandardScaler,SetModel: DecisionTreeClassifier,SelectFeaturesRFE,SetModel: KNeighborsClassifier,RunCond: SearchHyperParams,TestPerformance,TestPerformance
L904,0,"KNeighborsClassifier(leaf_size=1, n_jobs=-1, n_neighbors=1, p=1)",lspk1 tspk2 lsfw2 lspk2 tsfw1 lsfw3,1.0,1.0,0.5925925925925927,0.6666666666666666,LoadData,ImputedData,SetYCol: coatingId,Set: scoring,DropCol: coating,NonCollinearFeatures,,,AugmentImb: SMOTE,SplitValidation: 0.20,AggregateFeatures,ScaleX: StandardScaler,SetModel: DecisionTreeClassifier,SelectFeaturesRFE,SetModel: KNeighborsClassifier,RunCond: SearchHyperParams,TestPerformance,TestPerformance
L923,0,SVC(C=0.112),tspk2 tsfw2 lspk2 lsfw2 tspk3 tsfw3 lspk3 lsfw3 teosVolume teosVolPct,0.8849242424242424,0.8909090909090909,0.5333333333333333,0.6666666666666666,LoadData,ObservedData,SetYCol: coatingId,Set: scoring,DropCol: coating,AllValidFeatures,AugmentByQuality: F=2 scale=0.40,,AugmentImb: RandomOverSampler,SplitValidation: 0.20,AggregateFeatures,ScaleX: StandardScaler,SetModel: DecisionTreeClassifier,SelectFeaturesRFE,SetModel: SVC,RunCond: SearchHyperParams,TestPerformance,TestPerformance
L924,0,"XGBClassifier(base_score=0.5, booster='gbtree', callbacks=None,
              colsample_bylevel=1, colsample_bynode=1, colsample_bytree=1,
              early_stopping_rounds=None, enable_categorical=False,
              eval_metric=None, gamma=0.0, gpu_id=-1, grow_policy='depthwise',
              importance_type=None, interaction_constraints='',
              learning_rate=0.5, max_bin=256, max_cat_to_onehot=4,
              max_delta_step=0, max_depth=7, max_leaves=0, min_child_weight=1,
              missing=nan, monotone_constraints='()', n_estimators=1, n_jobs=0,
              num_parallel_tree=1, objective='multi:softmax', predictor='auto',
              random_state=0, reg_alpha=0, ...)",tsfw1 lspk1 lsfw1 tspk2 tsfw2 lspk2 lsfw2 tspk3 tsfw3 lspk3 lsfw3 teosVolume teosVolPct,0.8435374149659863,0.8571428571428571,0.611111111111111,0.6666666666666666,LoadData,ObservedData,SetYCol: coatingId,Set: scoring,DropCol: coating,AllValidFeatures,,,AugmentImb: RandomOverSampler,SplitValidation: 0.20,,ScaleX: StandardScaler,SetModel: DecisionTreeClassifier,SelectFeaturesRFE,SetModel: gbtree,RunCond: SearchHyperParams,TestPerformance,TestPerformance
L925,0,None,tspk1 tsfw1 lspk1 lsfw1 tspk2 tsfw2 lspk2 lsfw2 tspk3 tsfw3 lspk3 lsfw3 teosVolume teosVolPct,,,,,LoadData,ObservedData,SetYCol: coatingId,Set: scoring,DropCol: coating,AllValidFeatures,AugmentByQuality: F=1 scale=0.30,ScaleX: StandardScaler,AugmentImb: ADASYN,,,,,,,,,
L936,0,"KNeighborsClassifier(leaf_size=1, n_jobs=-1, n_neighbors=1)",tsfw1 tspk2 tsfw2 lspk2 lsfw2 tsfw3 lspk3 lsfw3 teosVolume teosVolPct,1.0,1.0,0.5925925925925927,0.6666666666666666,LoadData,ImputedData,SetYCol: coatingId,Set: scoring,DropCol: coating,AllValidFeatures,AugmentByQuality: F=2 scale=0.40,ScaleX: StandardScaler,AugmentImb: RandomOverSampler,SplitValidation: 0.20,,ScaleX: StandardScaler,SetModel: DecisionTreeClassifier,SelectFeaturesRFE,SetModel: KNeighborsClassifier,RunCond: SearchHyperParams,TestPerformance,TestPerformance
L944,0,None,tspk1 tsfw1 lspk1 lsfw1 tspk2 tsfw2 lspk2 lsfw2 tspk3 tsfw3 lspk3 lsfw3 teosVolume teosVolPct,,,,,LoadData,ObservedData,SetYCol: coatingId,Set: scoring,DropCol: coating,AllValidFeatures,,ScaleX: StandardScaler,AugmentImb: BorderlineSMOTE,,,,,,,,,
L943,0,SVC(C=0.001),lsfw1 lsfw2 tsfw1 tspk1 tsfw2 teosVolPct teosVolume,1.0,1.0,0.5333333333333333,0.6666666666666666,LoadData,ObservedData,SetYCol: coatingId,Set: scoring,DropCol: coating,NonCollinearFeatures,,ScaleX: StandardScaler,,SplitValidation: 0.20,AggregateFeatures,ScaleX: StandardScaler,SetModel: DecisionTreeClassifier,SelectFeaturesRFE,SetModel: SVC,RunCond: SearchHyperParams,TestPerformance,TestPerformance
